City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,galveston,29.3669,-94.9669,38.91,59,0,5.66,US,1689885224
157,uturoa,-16.7333,-151.4333,24.56,64,12,7.93,PF,1689885167
158,marsh harbour,26.5412,-77.0636,30.23,69,100,5.8,BS,1689885224
159,bamboo flat,11.7,92.7167,26.05,94,100,0.51,IN,1689885224
160,thoen,17.6129,99.2161,23.58,97,100,0.85,TH,1689885224
161,castillos,-34.1667,-53.8333,13.36,86,100,3.89,UY,1689885224
162,grand-bourg,15.8835,-61.3148,30.97,73,100,6.44,GP,1689885225
163,pierre,44.3683,-100.351,26.51,41,75,1.34,US,1689885225
164,undurkhaan,47.3194,110.6556,14.35,79,100,3.42,MN,1689885225
165,yaren,-0.5472,166.916,27.5,80,100,5.75,NR,1689885170
166,savanna-la-mar,18.219,-78.1332,31.97,68,69,4.6,JM,1689885225
167,kaa-khem,51.6833,94.7333,19.26,41,100,2.6,RU,1689885036
168,rouyn-noranda,48.2398,-79.0288,20.05,73,75,4.12,CA,1689885135
169,krasnyy kholm,58.0607,37.1203,11.32,84,77,4.89,RU,1689885225
170,vila velha,-20.3297,-40.2925,22.97,91,75,4.12,BR,1689885041
171,karoi,-16.8099,29.6925,14.04,53,0,1.52,ZW,1689885225
172,kattivakkam,13.2167,80.3167,32.26,58,100,6.61,IN,1689885195
173,takab,36.4009,47.1133,21.61,46,5,2.67,IR,1689885225
174,dryden,49.7833,-92.7503,24.16,50,20,1.54,CA,1689885138
175,kapit,2.0167,112.9333,23.06,99,100,0.54,MY,1689885225
176,kirensk,57.7853,108.1119,12.82,82,10,0.28,RU,1689885199
177,saldanha,-33.0117,17.9442,10.03,65,0,5.43,ZA,1689885197
178,mazeikiai,56.3167,22.3333,10.41,93,0,3.25,LT,1689885226
179,olonkinbyen,70.9221,-8.7187,5.62,82,100,1.23,SJ,1689885106
180,arraial do cabo,-22.9661,-42.0278,20.92,68,75,5.14,BR,1689885014
181,kaspiysk,42.8816,47.6392,22.1,64,0,4.02,RU,1689885226
182,murud,18.3258,72.965,26.23,86,100,4.82,IN,1689885226
183,robertsport,6.7533,-11.3686,25.47,88,100,5.4,LR,1689885226
184,kerikeri,-35.2268,173.9474,10.76,93,22,1.23,NZ,1689885134
185,as sulayyil,20.4607,45.5779,35.14,9,93,1.78,SA,1689885226
186,aykhal,66.0,111.5,13.94,89,100,5.92,RU,1689885172
187,victorica,-36.2151,-65.4359,15.51,39,100,7.57,AR,1689885180
188,bandarbeyla,9.4942,50.8122,23.8,83,100,13.15,SO,1689885226
189,san martin,-33.081,-68.4681,16.3,26,51,4.28,AR,1689885226
190,brady,31.1352,-99.3351,40.76,18,0,2.57,US,1689885226
191,ca mau,9.1769,105.15,24.85,88,85,4.98,VN,1689885226
192,vadso,70.0744,29.7487,9.49,87,75,8.75,NO,1689885183
193,stanley,54.868,-1.6985,13.21,91,86,3.42,GB,1689885129
194,luanda,-8.8368,13.2343,22.0,83,21,3.09,AO,1689885227
195,port lincoln,-34.7333,135.8667,10.91,71,35,3.07,AU,1689885136
196,georgetown,5.4112,100.3354,27.97,85,40,2.24,MY,1689884874
197,kikwit,-5.041,18.8162,26.49,33,49,0.75,CD,1689885227
198,qaqortoq,60.7167,-46.0333,7.6,93,100,2.62,GL,1689884957
199,sheridan,44.8333,-106.9173,28.72,38,0,4.12,US,1689885096
200,punta arenas,-53.15,-70.9167,1.15,69,100,7.49,CL,1689885125
201,la ronge,55.1001,-105.2842,26.12,47,75,3.6,CA,1689885114
202,vorgashor,67.5833,63.95,17.68,80,54,2.75,RU,1689885108
203,amahai,-3.3333,128.9167,26.67,87,50,3.87,ID,1689885227
204,tazacorte,28.629,-17.9293,23.54,89,75,8.23,ES,1689885105
205,bedford,52.1346,-0.4663,17.04,70,99,2.72,GB,1689885227
206,miyako,39.6367,141.9525,19.41,92,37,1.03,JP,1689885228
207,mahibadhoo,3.7833,72.9667,27.65,78,97,3.67,MV,1689885131
208,talnakh,69.4865,88.3972,15.67,97,56,3.02,RU,1689885124
209,moroto,2.5345,34.6666,21.63,62,100,0.55,UG,1689885228
